Unnamed: 0,Game,ReleaseDate,Genre,TotalEarnings,OfflineEarnings,PercentOffline,TotalPlayers,TotalTournaments,Country,Date,Earnings,Players,Tournaments
4089,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2014-01-01,537172.02,62.0,9.0
4090,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2014-02-01,109103.95,80.0,9.0
4091,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2014-03-01,39847.26,49.0,5.0
4092,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2014-04-01,611868.16,216.0,20.0
4093,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2014-05-01,50002.17,101.0,7.0
4094,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2014-06-01,1153704.61,210.0,19.0
4095,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2014-07-01,10942434.87,131.0,9.0
4096,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2014-08-01,42422.07,87.0,8.0
4097,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2014-09-01,653064.9,160.0,13.0
4098,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2014-10-01,1006807.68,201.0,14.0
4099,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2014-11-01,391651.25,163.0,9.0
4100,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2014-12-01,1070101.65,302.0,28.0
4101,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2015-01-01,345579.13,200.0,15.0
4102,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2015-02-01,3088520.01,142.0,8.0
4103,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2015-03-01,143801.15,153.0,14.0
4104,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2015-04-01,321125.48,235.0,30.0
4105,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2015-05-01,1149751.95,317.0,29.0
4106,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2015-06-01,1071907.2,258.0,22.0
4107,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2015-07-01,583115.71,264.0,18.0
4108,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2015-08-01,18463252.88,196.0,16.0
4109,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2015-09-01,146011.16,175.0,12.0
4110,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2015-10-01,728072.42,211.0,18.0
4111,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2015-11-01,3523821.23,285.0,22.0
4112,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2015-12-01,1471862.14,294.0,23.0
4113,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2016-01-01,684021.02,196.0,14.0
4114,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2016-02-01,259451.93,203.0,19.0
4115,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2016-03-01,3242298.94,171.0,13.0
4116,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2016-04-01,450127.1,168.0,14.0
4117,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2016-05-01,1054186.63,215.0,10.0
4118,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2016-06-01,3319441.92,140.0,5.0
4119,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2016-07-01,1309745.81,340.0,20.0
4120,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2016-08-01,20858599.5,160.0,6.0
4121,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2016-09-01,208035.2,157.0,9.0
4122,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2016-10-01,645307.65,231.0,14.0
4123,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2016-11-01,764842.75,286.0,17.0
4124,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2016-12-01,4667978.88,268.0,12.0
4125,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2017-01-01,1943033.97,201.0,11.0
4126,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2017-02-01,339752.25,111.0,7.0
4127,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2017-03-01,65944.0,120.0,13.0
4128,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2017-04-01,3800394.59,319.0,19.0
4129,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2017-05-01,515118.41,245.0,13.0
4130,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2017-06-01,876130.64,209.0,10.0
4131,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2017-07-01,568000.28,243.0,11.0
4132,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2017-08-01,24824809.87,214.0,15.0
4133,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2017-09-01,106255.52,130.0,12.0
4134,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2017-10-01,1968346.47,306.0,22.0
4135,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2017-11-01,1184832.4,306.0,19.0
4136,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2017-12-01,1881980.92,262.0,15.0
4137,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2018-01-01,1429929.6,216.0,11.0
4138,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2018-02-01,1470636.47,192.0,9.0
4139,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2018-03-01,3138584.99,274.0,14.0
4140,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2018-04-01,1576985.88,309.0,14.0
4141,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2018-05-01,3365918.69,239.0,18.0
4142,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2018-06-01,1637497.41,216.0,10.0
4143,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2018-07-01,159330.91,148.0,10.0
4144,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2018-08-01,25584943.71,191.0,12.0
4145,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2018-09-01,37146.0,113.0,10.0
4146,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2018-10-01,1099581.5,465.0,32.0
4147,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2018-11-01,1435905.88,291.0,16.0
4148,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2018-12-01,600329.82,333.0,25.0
4149,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2019-01-01,1503477.01,237.0,14.0
4150,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2019-02-01,833701.96,180.0,8.0
4151,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2019-03-01,2375413.65,335.0,22.0
4152,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2019-04-01,875430.28,212.0,19.0
4153,Dota 2,2013-01-01,Multiplayer Online Battle Arena,337107974.16,298290573.89,0.884851729281324,4784,1841,United States of America,2019-05-01,1153882.77,202.0,13.0
